size,type,threshold,time_ms
5300,random,0,0.909
5300,random,5,0.643
5300,random,10,0.626
5300,random,20,0.657
5300,random,30,0.675
5300,random,50,0.634
5300,reversed,0,0.484
5300,reversed,5,0.368
5300,reversed,10,0.335
5300,reversed,20,0.311
5300,reversed,30,0.336
5300,reversed,50,0.433
5300,almost,0,0.466
5300,almost,5,0.387
5300,almost,10,0.349
5300,almost,20,0.318
5300,almost,30,0.293
5300,almost,50,0.291
5400,random,0,0.859
5400,random,5,0.739
5400,random,10,0.734
5400,random,20,0.723
5400,random,30,0.639
5400,random,50,0.657
5400,reversed,0,0.43
5400,reversed,5,0.354
5400,reversed,10,0.328
5400,reversed,20,0.305
5400,reversed,30,0.367
5400,reversed,50,0.535
5400,almost,0,0.48
5400,almost,5,0.375
5400,almost,10,0.366
5400,almost,20,0.333
5400,almost,30,0.313
5400,almost,50,0.297
5500,random,0,0.804
5500,random,5,0.723
5500,random,10,0.713
5500,random,20,0.672
5500,random,30,0.644
5500,random,50,0.755
5500,reversed,0,0.429
5500,reversed,5,0.355
5500,reversed,10,0.339
5500,reversed,20,0.327
5500,reversed,30,0.345
5500,reversed,50,0.46
5500,almost,0,0.485
5500,almost,5,0.392
5500,almost,10,0.359
5500,almost,20,0.335
5500,almost,30,0.302
5500,almost,50,0.281
5600,random,0,0.819
5600,random,5,0.826
5600,random,10,0.758
5600,random,20,0.77
5600,random,30,0.67
5600,random,50,0.691
5600,reversed,0,0.443
5600,reversed,5,0.37
5600,reversed,10,0.344
5600,reversed,20,0.333
5600,reversed,30,0.349
5600,reversed,50,0.477
5600,almost,0,0.494
5600,almost,5,0.49
5600,almost,10,0.43
5600,almost,20,0.35
5600,almost,30,0.306
5600,almost,50,0.319
5700,random,0,1.038
5700,random,5,0.802
5700,random,10,0.946
5700,random,20,0.714
5700,random,30,0.721
5700,random,50,0.888
5700,reversed,0,0.464
5700,reversed,5,0.395
5700,reversed,10,0.367
5700,reversed,20,0.379
5700,reversed,30,0.369
5700,reversed,50,0.494
5700,almost,0,0.479
5700,almost,5,0.417
5700,almost,10,0.391
5700,almost,20,0.353
5700,almost,30,0.313
5700,almost,50,0.297
5800,random,0,0.859
5800,random,5,0.848
5800,random,10,0.781
5800,random,20,0.861
5800,random,30,0.692
5800,random,50,0.748
5800,reversed,0,0.618
5800,reversed,5,0.423
5800,reversed,10,0.344
5800,reversed,20,0.321
5800,reversed,30,0.4
5800,reversed,50,0.656
5800,almost,0,0.465
5800,almost,5,0.397
5800,almost,10,0.386
5800,almost,20,0.379
5800,almost,30,0.309
5800,almost,50,0.278
5900,random,0,0.814
5900,random,5,0.789
5900,random,10,0.756
5900,random,20,0.727
5900,random,30,0.767
5900,random,50,0.709
5900,reversed,0,0.456
5900,reversed,5,0.376
5900,reversed,10,0.379
5900,reversed,20,0.326
5900,reversed,30,0.354
5900,reversed,50,0.482
5900,almost,0,0.53
5900,almost,5,0.421
5900,almost,10,0.387
5900,almost,20,0.336
5900,almost,30,0.308
5900,almost,50,0.277
6000,random,0,0.925
6000,random,5,0.855
6000,random,10,0.953
6000,random,20,0.85
6000,random,30,0.739
6000,random,50,0.929
6000,reversed,0,0.463
6000,reversed,5,0.386
6000,reversed,10,0.506
6000,reversed,20,0.41
6000,reversed,30,0.44
6000,reversed,50,0.496
6000,almost,0,0.578
6000,almost,5,0.504
6000,almost,10,0.507
6000,almost,20,0.402
6000,almost,30,0.315
6000,almost,50,0.334
6100,random,0,1.16
6100,random,5,0.911
6100,random,10,0.978
6100,random,20,0.752
6100,random,30,0.746
6100,random,50,0.749
6100,reversed,0,0.519
6100,reversed,5,0.393
6100,reversed,10,0.389
6100,reversed,20,0.34
6100,reversed,30,0.399
6100,reversed,50,0.548
6100,almost,0,0.516
6100,almost,5,0.61
6100,almost,10,0.39
6100,almost,20,0.398
6100,almost,30,0.371
6100,almost,50,0.373
6200,random,0,1.051
6200,random,5,0.843
6200,random,10,0.972
6200,random,20,0.738
6200,random,30,0.795
6200,random,50,0.828
6200,reversed,0,0.486
6200,reversed,5,0.431
6200,reversed,10,0.384
6200,reversed,20,0.343
6200,reversed,30,0.371
6200,reversed,50,0.528
6200,almost,0,0.541
6200,almost,5,0.451
6200,almost,10,0.403
6200,almost,20,0.356
6200,almost,30,0.315
6200,almost,50,0.305
6300,random,0,0.963
6300,random,5,0.809
6300,random,10,0.789
6300,random,20,0.739
6300,random,30,0.721
6300,random,50,0.771
6300,reversed,0,0.479
6300,reversed,5,0.437
6300,reversed,10,0.377
6300,reversed,20,0.412
6300,reversed,30,0.408
6300,reversed,50,0.57
6300,almost,0,0.621
6300,almost,5,0.582
6300,almost,10,0.445
6300,almost,20,0.411
6300,almost,30,0.319
6300,almost,50,0.33
6400,random,0,1.1
6400,random,5,0.855
6400,random,10,0.951
6400,random,20,0.751
6400,random,30,0.749
6400,random,50,0.778
6400,reversed,0,0.496
6400,reversed,5,0.435
6400,reversed,10,0.4
6400,reversed,20,0.378
6400,reversed,30,0.394
6400,reversed,50,0.557
6400,almost,0,0.515
6400,almost,5,0.493
6400,almost,10,0.426
6400,almost,20,0.468
6400,almost,30,0.337
6400,almost,50,0.356
6500,random,0,1.198
6500,random,5,0.902
6500,random,10,1.03
6500,random,20,0.809
6500,random,30,0.916
6500,random,50,0.787
6500,reversed,0,0.504
6500,reversed,5,0.436
6500,reversed,10,0.393
6500,reversed,20,0.355
6500,reversed,30,0.403
6500,reversed,50,0.442
6500,almost,0,0.551
6500,almost,5,0.467
6500,almost,10,0.546
6500,almost,20,0.384
6500,almost,30,0.456
6500,almost,50,0.38
6600,random,0,0.926
6600,random,5,0.896
6600,random,10,0.858
6600,random,20,0.818
6600,random,30,0.873
6600,random,50,0.803
6600,reversed,0,0.706
6600,reversed,5,0.506
6600,reversed,10,0.422
6600,reversed,20,0.359
6600,reversed,30,0.481
6600,reversed,50,0.461
6600,almost,0,0.539
6600,almost,5,0.471
6600,almost,10,0.421
6600,almost,20,0.476
6600,almost,30,0.382
6600,almost,50,0.334
6700,random,0,0.925
6700,random,5,0.978
6700,random,10,0.811
6700,random,20,0.815
6700,random,30,0.776
6700,random,50,0.774
6700,reversed,0,0.554
6700,reversed,5,0.5
6700,reversed,10,0.448
6700,reversed,20,0.412
6700,reversed,30,0.558
6700,reversed,50,0.494
6700,almost,0,0.606
6700,almost,5,0.526
6700,almost,10,0.528
6700,almost,20,0.479
6700,almost,30,0.333
6700,almost,50,0.359
6800,random,0,1.046
6800,random,5,0.939
6800,random,10,1.121
6800,random,20,0.856
6800,random,30,0.943
6800,random,50,0.913
6800,reversed,0,0.602
6800,reversed,5,0.58
6800,reversed,10,0.418
6800,reversed,20,0.423
6800,reversed,30,0.537
6800,reversed,50,0.521
6800,almost,0,0.752
6800,almost,5,0.51
6800,almost,10,0.472
6800,almost,20,0.407
6800,almost,30,0.366
6800,almost,50,0.367
6900,random,0,1.025
6900,random,5,1.059
6900,random,10,1.014
6900,random,20,0.904
6900,random,30,0.841
6900,random,50,0.849
6900,reversed,0,0.587
6900,reversed,5,0.465
6900,reversed,10,0.443
6900,reversed,20,0.428
6900,reversed,30,0.522
6900,reversed,50,0.53
6900,almost,0,0.811
6900,almost,5,0.545
6900,almost,10,0.465
